State/Province,Country,Country Lookup: Time Zone,Exlibris Customer Care Region,Account Name,Account Name Internal,Account Currency
IL,United States,,NA,Columbia College Chicago,Columbia College Chicago,USD
LIMBURG,Netherlands,Europe/Amsterdam,EMEA ANZ,DSM Services B V,Koninklijke DSM NV,USD
IL,United States,,NA,Illinois State University at Normal,Illinois State University at Normal Purchasing Office,USD
ZUID-HOLLAND,Netherlands,Europe/Amsterdam,EMEA ANZ,EVD Agy for Intl Business & Cooperation,Rijksdienst voor Ondernemend Nederland,USD
IL,United States,,NA,National Louis University Wheeling Campus,National Louis University Wheeling Campus,USD
,Philippines,Asia/Manila,APAC,Asian Development Bank,Asian Development Bank,USD
IL,United States,,NA,Saint John's College of Nursing,Saint John's College of Nursing,USD
TX,United States,,NA,ExxonMobil Global Services Company,ExxonMobil Global Services Co Irving,USD
TX,United States,,NA,Dallas Museum of Art,Dallas Museum of Art,USD
,Poland,Europe/Brussels,EMEA ANZ,Instytut Nauk Geologicznych Polskiej Akademii Nauk,Institute of Geological Sciences PAS,USD
TX,United States,,NA,San Jacinto College District,San Jacinto College District,USD
,Poland,Europe/Brussels,EMEA ANZ,Wojskowy Instytut Medycyny Lotnicznej,Military Institute of Aviation Medicine,USD
AL,United States,,NA,Wallace Community College Selma,Wallace Community College Selma,USD
Setúbal,Portugal,,EMEA ANZ,Lusodoc-documentacao Technico-cientifica Lda.,Lusodoc,USD
ON,Canada,,NA,Koffler Student Services Centre,Koffler Student Services Centre,USD
PA,United States,,NA,Swarthmore College,Swarthmore College Sponsored Programs,USD
TX,United States,,NA,Northwest Vista College,Northwest Vista College,USD
MD,United States,,NA,Montgomery County Public Library,Montgomery County Public Library,USD
ON,Canada,,NA,University of Toronto Mississauga,University of Toronto Mississauga Library,USD
PR,Puerto Rico,,NA,Hewlett Packard,Hewlett Packard,USD
Riyadh,Saudi Arabia,Asia/Riyadh,EMEA ANZ,Prince Sultan Military Medical City (PSMMC),Prince Sultan Military Medical Hospital,USD
TN,United States,,NA,Columbia State Comm Coll,Columbia State Comm Coll,USD
